"time","Corrente da bateria (mA)","Tensão da bateria (V)","Energia (Wh)"
2026-01-07 23:14:22,,,
2026-01-07 23:14:22,,,
2026-01-07 23:14:41,-45.3,4.58,-1.07
2026-01-07 23:14:41,-45.3,4.58,-1.07
2026-01-07 23:14:41,-45.3,4.58,-1.07
2026-01-07 23:15:06,-45.7,4.56,-1.07
2026-01-07 23:15:06,-45.7,4.56,-1.07
2026-01-07 23:15:06,-45.7,4.56,-1.07
2026-01-07 23:15:32,-46.8,4.56,-1.07
2026-01-07 23:15:32,-46.8,4.56,-1.07
2026-01-07 23:15:32,-46.8,4.56,-1.07
2026-01-07 23:15:58,-47.1,4.54,-1.07
2026-01-07 23:15:58,-47.1,4.54,-1.07
2026-01-07 23:15:58,-47.1,4.54,-1.07
2026-01-07 23:16:24,-48.6,4.56,-1.07
2026-01-07 23:16:24,-48.6,4.56,-1.07
2026-01-07 23:16:24,-48.6,4.56,-1.07
2026-01-07 23:16:51,-46.7,4.57,-1.07
2026-01-07 23:16:51,-46.7,4.57,-1.07
2026-01-07 23:16:51,-46.7,4.57,-1.07
2026-01-07 23:17:17,-48.3,4.56,-1.07
2026-01-07 23:17:17,-48.3,4.56,-1.07
2026-01-07 23:17:17,-48.3,4.56,-1.07
2026-01-07 23:17:43,-46.3,4.58,-1.07
2026-01-07 23:17:43,-46.3,4.58,-1.07
2026-01-07 23:17:43,-46.3,4.58,-1.07
2026-01-07 23:18:09,-47,4.57,-1.08
2026-01-07 23:18:09,-47,4.57,-1.08
2026-01-07 23:18:09,-47,4.57,-1.08
2026-01-07 23:18:35,-44.1,4.57,-1.08
2026-01-07 23:18:35,-44.1,4.57,-1.08
2026-01-07 23:18:35,-44.1,4.57,-1.08
2026-01-07 23:19:01,-45.4,4.58,-1.08
2026-01-07 23:19:01,-45.4,4.58,-1.08
2026-01-07 23:19:01,-45.4,4.58,-1.08
2026-01-07 23:19:26,-45.2,4.58,-1.08
2026-01-07 23:19:26,-45.2,4.58,-1.08
2026-01-07 23:19:26,-45.2,4.58,-1.08
2026-01-07 23:19:52,-42.3,4.60,-1.08
2026-01-07 23:19:52,-42.3,4.60,-1.08
2026-01-07 23:19:52,-42.3,4.60,-1.08
2026-01-07 23:20:19,-43.3,4.59,-1.08
2026-01-07 23:20:19,-43.3,4.59,-1.08
2026-01-07 23:20:19,-43.3,4.59,-1.08
2026-01-07 23:20:45,-43,4.59,-1.08
2026-01-07 23:20:45,-43,4.59,-1.08
2026-01-07 23:20:45,-43,4.59,-1.08
2026-01-07 23:21:11,-46.8,4.56,-1.08
2026-01-07 23:21:11,-46.8,4.56,-1.08
2026-01-07 23:21:37,-45.3,4.57,-1.08
2026-01-07 23:21:37,-45.3,4.57,-1.08
2026-01-07 23:22:03,-42.5,4.60,-1.09
2026-01-07 23:22:03,-42.5,4.60,-1.09
2026-01-07 23:22:03,-42.5,4.60,-1.09
2026-01-07 23:22:29,-43.5,4.59,-1.09
2026-01-07 23:22:29,-43.5,4.59,-1.09
2026-01-07 23:22:55,-43.9,4.60,-1.09
2026-01-07 23:22:55,-43.9,4.60,-1.09
2026-01-07 23:22:55,-43.9,4.60,-1.09
2026-01-07 23:23:22,-45.4,4.58,-1.09
2026-01-07 23:23:22,-45.4,4.58,-1.09
2026-01-07 23:23:22,-45.4,4.58,-1.09
2026-01-07 23:23:48,-46.5,4.58,-1.09
2026-01-07 23:23:48,-46.5,4.58,-1.09
2026-01-07 23:23:48,-46.5,4.58,-1.09
2026-01-07 23:24:14,-43.4,4.58,-1.09
2026-01-07 23:24:14,-43.4,4.58,-1.09
2026-01-07 23:24:14,-43.4,4.58,-1.09
2026-01-07 23:24:40,-47,4.58,-1.09
2026-01-07 23:24:40,-47,4.58,-1.09
2026-01-07 23:24:40,-47,4.58,-1.09
2026-01-07 23:25:06,-45.3,4.57,-1.09
2026-01-07 23:25:06,-45.3,4.57,-1.09
2026-01-07 23:25:06,-45.3,4.57,-1.09
2026-01-07 23:25:32,-42.2,4.60,-1.09
2026-01-07 23:25:32,-42.2,4.60,-1.09
2026-01-07 23:25:32,-42.2,4.60,-1.09
2026-01-07 23:25:59,-42.5,4.59,-1.10
2026-01-07 23:25:59,-42.5,4.59,-1.10
2026-01-07 23:26:26,-43,4.59,-1.10
2026-01-07 23:26:26,-43,4.59,-1.10
2026-01-07 23:26:26,-43,4.59,-1.10
2026-01-07 23:26:51,-42.1,4.60,-1.10
2026-01-07 23:26:51,-42.1,4.60,-1.10
2026-01-07 23:27:17,-42.7,4.61,-1.10
2026-01-07 23:27:17,-42.7,4.61,-1.10
2026-01-07 23:27:17,-42.7,4.61,-1.10
2026-01-07 23:27:43,-47.5,4.58,-1.10
2026-01-07 23:27:43,-47.5,4.58,-1.10
2026-01-07 23:27:43,-47.5,4.58,-1.10
2026-01-07 23:28:09,-45.2,4.55,-1.10
2026-01-07 23:28:09,-45.2,4.55,-1.10
2026-01-07 23:28:35,-46.3,4.57,-1.10
2026-01-07 23:28:35,-46.3,4.57,-1.10
2026-01-07 23:28:35,-46.3,4.57,-1.10
2026-01-07 23:29:02,-47.8,4.57,-1.10
2026-01-07 23:29:02,-47.8,4.57,-1.10
2026-01-07 23:29:28,-41.3,4.60,-1.10
2026-01-07 23:29:28,-41.3,4.60,-1.10
2026-01-07 23:29:54,-44.2,4.60,-1.11
2026-01-07 23:29:54,-44.2,4.60,-1.11
2026-01-07 23:29:54,-44.2,4.60,-1.11
2026-01-07 23:30:20,-44.2,4.58,-1.11
2026-01-07 23:30:20,-44.2,4.58,-1.11
2026-01-07 23:30:20,-44.2,4.58,-1.11
2026-01-07 23:30:46,-42.9,4.61,-1.11
2026-01-07 23:30:46,-42.9,4.61,-1.11
2026-01-07 23:30:46,-42.9,4.61,-1.11
2026-01-07 23:31:12,-46.8,4.57,-1.11
2026-01-07 23:31:12,-46.8,4.57,-1.11
2026-01-07 23:31:38,-44.1,4.59,-1.11
2026-01-07 23:31:38,-44.1,4.59,-1.11
2026-01-07 23:32:05,-46.1,4.59,-1.11
2026-01-07 23:32:05,-46.1,4.59,-1.11
2026-01-07 23:32:31,-46.4,4.57,-1.11
2026-01-07 23:32:31,-46.4,4.57,-1.11
2026-01-07 23:32:31,-46.4,4.57,-1.11
2026-01-07 23:32:57,-43.9,4.60,-1.11
2026-01-07 23:32:57,-43.9,4.60,-1.11
2026-01-07 23:32:57,-43.9,4.60,-1.11
2026-01-07 23:33:23,-45.1,4.58,-1.11
2026-01-07 23:33:23,-45.1,4.58,-1.11
2026-01-07 23:33:23,-45.1,4.58,-1.11
2026-01-07 23:33:49,-43.7,4.60,-1.12
2026-01-07 23:33:49,-43.7,4.60,-1.12
2026-01-07 23:33:49,-43.7,4.60,-1.12
2026-01-07 23:34:15,-48.6,4.56,-1.12
2026-01-07 23:34:15,-48.6,4.56,-1.12
2026-01-07 23:34:15,-48.6,4.56,-1.12
2026-01-07 23:34:41,-49.1,4.54,-1.12
2026-01-07 23:34:41,-49.1,4.54,-1.12
2026-01-07 23:34:41,-49.1,4.54,-1.12
2026-01-07 23:35:08,-48.1,4.56,-1.12
2026-01-07 23:35:08,-48.1,4.56,-1.12
2026-01-07 23:35:08,-48.1,4.56,-1.12
2026-01-07 23:35:34,-49.4,4.54,-1.12
2026-01-07 23:35:34,-49.4,4.54,-1.12
2026-01-07 23:35:34,-49.4,4.54,-1.12
2026-01-07 23:36:00,-48.4,4.56,-1.12
2026-01-07 23:36:00,-48.4,4.56,-1.12
2026-01-07 23:36:00,-48.4,4.56,-1.12
2026-01-07 23:36:26,-47.9,4.56,-1.12
2026-01-07 23:36:26,-47.9,4.56,-1.12
2026-01-07 23:36:26,-47.9,4.56,-1.12
2026-01-07 23:36:52,-46.2,4.56,-1.12
2026-01-07 23:36:52,-46.2,4.56,-1.12
2026-01-07 23:37:18,-46.8,4.56,-1.13
2026-01-07 23:37:18,-46.8,4.56,-1.13
2026-01-07 23:37:18,-46.8,4.56,-1.13
2026-01-07 23:37:44,-46.6,4.57,-1.13
2026-01-07 23:37:44,-46.6,4.57,-1.13
2026-01-07 23:38:11,-46.5,4.57,-1.13
2026-01-07 23:38:11,-46.5,4.57,-1.13
2026-01-07 23:38:11,-46.5,4.57,-1.13
2026-01-07 23:38:37,-46.8,4.56,-1.13
2026-01-07 23:38:37,-46.8,4.56,-1.13
2026-01-07 23:39:03,-48.2,4.56,-1.13
2026-01-07 23:39:03,-48.2,4.56,-1.13
2026-01-07 23:39:03,-48.2,4.56,-1.13
2026-01-07 23:39:29,-47.9,4.55,-1.13
2026-01-07 23:39:29,-47.9,4.55,-1.13
2026-01-07 23:39:55,-47.6,4.57,-1.13
2026-01-07 23:39:55,-47.6,4.57,-1.13
2026-01-07 23:39:55,-47.6,4.57,-1.13
2026-01-07 23:40:21,-45.3,4.58,-1.13
2026-01-07 23:40:21,-45.3,4.58,-1.13
2026-01-07 23:40:21,-45.3,4.58,-1.13
2026-01-07 23:40:47,-44.1,4.58,-1.14
2026-01-07 23:41:14,-47.8,4.57,-1.14
2026-01-07 23:41:14,-47.8,4.57,-1.14
2026-01-07 23:41:40,-46.2,4.56,-1.14
2026-01-07 23:41:40,-46.2,4.56,-1.14
2026-01-07 23:41:40,-46.2,4.56,-1.14
2026-01-07 23:42:06,-44.2,4.58,-1.14
2026-01-07 23:42:06,-44.2,4.58,-1.14
2026-01-07 23:42:06,-44.2,4.58,-1.14
2026-01-07 23:42:32,-40.7,4.62,-1.14
2026-01-07 23:42:32,-40.7,4.62,-1.14
2026-01-07 23:42:32,-40.7,4.62,-1.14
2026-01-07 23:42:58,-43.1,4.60,-1.14
2026-01-07 23:42:58,-43.1,4.60,-1.14
2026-01-07 23:43:24,-41.9,4.61,-1.14
2026-01-07 23:43:24,-41.9,4.61,-1.14
2026-01-07 23:43:24,-41.9,4.61,-1.14
2026-01-07 23:43:51,-41.1,4.62,-1.14
2026-01-07 23:43:51,-41.1,4.62,-1.14
2026-01-07 23:43:51,-41.1,4.62,-1.14
2026-01-07 23:44:17,-41,4.61,-1.14
2026-01-07 23:44:17,-41,4.61,-1.14
2026-01-07 23:44:43,-42.5,4.62,-1.15
2026-01-07 23:44:43,-42.5,4.62,-1.15
2026-01-07 23:44:43,-42.5,4.62,-1.15
2026-01-07 23:45:09,-43.5,4.60,-1.15
2026-01-07 23:45:35,-48.4,4.56,-1.15
2026-01-07 23:45:35,-48.4,4.56,-1.15
2026-01-07 23:45:35,-48.4,4.56,-1.15
2026-01-07 23:46:01,-45.5,4.58,-1.15
